OrderID,CustomerID,OrderDate,ShipDate,PromisedDeliveryDate,ActualDeliveryDate,OrderStatus,OrderValue,QuantityOrdered,QuantityShipped,QuantityReturned,IsAccurate,Region
O00068,C005,2024-04-05,2024-04-08,2024-04-10,2024-04-13,Delivered,583.02,18,18,0,1,Midwest
O00069,C032,2024-05-22,2024-05-25,2024-05-27,2024-06-01,Delivered,658.5,3,3,0,1,Northeast
O00070,C014,2024-02-16,2024-02-18,2024-02-19,2024-02-18,Delivered,451.28,8,8,0,1,West
O00071,C036,2024-11-30,2024-12-02,2024-12-07,2024-12-14,Delivered,1173.28,16,16,0,1,West
O00072,C040,2024-09-16,2024-09-19,2024-09-20,2024-09-22,Delivered,916.44,12,12,0,1,Midwest
O00073,C003,2024-07-14,2024-07-17,2024-07-18,2024-07-17,Delivered,1677.92,16,16,0,1,South
O00074,C011,2024-10-01,2024-10-03,2024-10-06,2024-10-05,Delivered,143.56,4,4,4,1,Midwest
O00075,C039,2024-09-14,2024-09-15,2024-09-17,2024-09-15,Delivered,56.86,2,2,0,1,Midwest
O00076,C003,2024-08-09,2024-08-12,2024-08-13,2024-08-12,Delivered,1033.92,18,18,0,1,South
O00077,C001,2024-05-24,2024-05-26,2024-05-31,2024-05-28,Delivered,346.05,3,3,0,1,South
O00078,C034,2024-03-20,2024-03-22,2024-03-24,2024-03-28,Delivered,2946.33,19,19,0,1,Midwest
O00079,C002,2024-10-28,2024-10-29,2024-11-03,2024-11-02,Delivered,563.29,13,13,0,0,Northeast
O00080,C002,2024-09-03,2024-09-05,2024-09-09,2024-09-13,Delivered,271.98,2,2,0,0,Northeast
O00081,C025,2024-11-08,2024-11-09,2024-11-14,,Shipped,1220.1,6,6,0,1,Northeast
O00082,C037,2024-12-09,2024-12-11,2024-12-12,2024-12-12,Delivered,642.16,8,8,0,1,Midwest
O00083,C033,2024-01-28,2024-01-31,2024-02-04,2024-01-31,Delivered,18.9,1,1,0,1,West
O00084,C005,2024-11-06,2024-11-09,2024-11-09,2024-11-14,Delivered,533.52,12,12,12,1,Midwest
O00085,C001,2024-07-12,2024-07-13,2024-07-19,2024-07-14,Delivered,1591.6,8,8,3,1,South
O00086,C018,2024-07-26,2024-07-27,2024-07-29,2024-07-30,Delivered,1118.58,6,6,0,1,West
O00087,C025,2024-08-01,2024-08-03,2024-08-04,2024-08-10,Delivered,1846.92,12,12,0,1,Northeast
O00088,C037,2024-06-28,2024-06-30,2024-07-05,2024-07-02,Delivered,121.65,1,1,0,1,Midwest
O00089,C019,2024-02-22,2024-02-25,2024-02-26,2024-02-26,Delivered,1118.2,20,20,0,1,Midwest
O00090,C026,2024-11-02,2024-11-04,2024-11-08,2024-11-07,Delivered,1336.4,8,8,0,1,West
O00091,C028,2024-10-29,2024-10-31,2024-11-05,2024-11-04,Delivered,910.4,16,12,0,1,Midwest
O00092,C029,2024-08-07,2024-08-09,2024-08-11,2024-08-15,Delivered,938.7,7,7,0,1,Northeast
O00093,C019,2024-04-27,2024-04-28,2024-05-01,2024-05-07,Delivered,774.24,16,16,4,1,Midwest
O00094,C019,2024-09-19,2024-09-22,2024-09-24,2024-09-22,Delivered,1015.74,18,18,1,1,Midwest
O00095,C020,2024-02-01,2024-02-03,2024-02-08,2024-02-04,Delivered,527.66,14,14,0,1,Northeast
O00096,C036,2024-02-06,,2024-02-13,,Cancelled,237.76,8,0,0,1,West
O00097,C039,2024-05-23,2024-05-25,2024-05-26,2024-05-26,Delivered,174.4,5,5,0,1,Midwest
O00098,C007,2024-06-07,2024-06-09,2024-06-10,,Shipped,1325.6,8,8,0,1,Midwest
O00099,C034,2024-05-21,2024-05-23,2024-05-24,2024-05-24,Delivered,918.4,16,16,0,1,Midwest
O00100,C008,2024-10-22,2024-10-23,2024-10-28,2024-10-30,Delivered,428.88,4,4,0,1,Northeast
O00101,C022,2024-07-04,2024-07-05,2024-07-10,2024-07-10,Delivered,240.3,5,5,0,1,South
O00102,C019,2024-07-03,2024-07-05,2024-07-07,2024-07-08,Delivered,462.11,11,11,0,1,Midwest
O00103,C015,2024-07-12,2024-07-14,2024-07-19,2024-07-14,Delivered,105.8,5,5,0,1,Northeast
O00104,C039,2024-05-19,2024-05-20,2024-05-24,2024-05-24,Delivered,2394.26,11,11,0,1,Midwest
O00105,C028,2024-04-29,2024-05-01,2024-05-04,2024-05-03,Delivered,355.72,2,2,0,1,Midwest
O00106,C022,2024-06-01,2024-06-02,2024-06-05,2024-06-03,Delivered,2842.32,13,4,0,1,South
O00107,C007,2024-06-22,,2024-06-26,,Placed,2130.31,13,0,0,1,Midwest
O00108,C013,2024-09-08,2024-09-10,2024-09-13,2024-09-10,Delivered,1566.88,14,14,0,1,South
O00109,C028,2024-07-22,2024-07-25,2024-07-25,2024-07-25,Delivered,1012.02,6,6,0,1,Midwest
O00110,C015,2024-11-26,2024-11-29,2024-12-02,2024-12-06,Delivered,781.12,8,8,0,1,Northeast
O00111,C008,2024-08-13,2024-08-14,2024-08-18,2024-08-14,Delivered,736.47,7,7,0,1,Northeast
O00112,C013,2024-01-07,2024-01-10,2024-01-14,2024-01-14,Delivered,1221.64,7,7,0,1,South
O00113,C031,2024-02-18,2024-02-21,2024-02-22,2024-02-24,Delivered,1209.72,6,6,0,1,Midwest
O00114,C030,2024-03-30,2024-04-01,2024-04-03,2024-04-02,Delivered,2796.43,13,13,0,0,South
O00115,C039,2024-07-31,,2024-08-04,,Placed,1710.63,9,0,0,1,Midwest
O00116,C014,2024-04-22,2024-04-25,2024-04-29,2024-05-02,Delivered,1590.6,11,11,0,1,West
O00117,C038,2024-12-07,2024-12-08,2024-12-10,2024-12-09,Delivered,2569.95,15,15,0,1,South
O00118,C013,2024-03-30,2024-04-01,2024-04-04,2024-04-04,Delivered,718.44,12,12,0,1,South
O00119,C019,2024-10-05,2024-10-07,2024-10-08,2024-10-07,Delivered,2953.58,17,17,0,1,Midwest
O00120,C002,2024-05-27,,2024-06-01,,Placed,2808.91,13,0,0,1,Northeast
O00121,C026,2024-01-25,2024-01-27,2024-02-01,2024-02-01,Delivered,211.44,3,3,0,1,West
O00122,C007,2024-05-27,2024-05-30,2024-06-01,2024-05-31,Delivered,1867.92,12,12,9,1,Midwest
O00123,C030,2024-02-11,2024-02-13,2024-02-18,2024-02-17,Delivered,612.48,6,2,0,1,South
O00124,C037,2024-10-13,2024-10-16,2024-10-20,2024-10-20,Delivered,1516.59,9,9,0,1,Midwest
O00125,C037,2024-02-03,2024-02-05,2024-02-07,2024-02-05,Delivered,115.36,4,1,0,1,Midwest
O00126,C002,2024-09-17,2024-09-18,2024-09-24,2024-09-18,Delivered,191.46,1,1,0,1,Northeast
O00127,C004,2024-07-09,2024-07-12,2024-07-15,2024-07-13,Delivered,828.52,7,7,0,1,South
O00128,C009,2024-08-14,2024-08-15,2024-08-20,2024-08-19,Delivered,818.24,16,16,0,1,West
O00129,C040,2024-12-10,2024-12-12,2024-12-16,2024-12-15,Delivered,3693.41,19,19,0,1,Midwest
O00130,C009,2024-11-26,2024-11-28,2024-11-30,2024-11-29,Delivered,127.94,1,1,0,1,West
O00131,C002,2024-05-09,2024-05-11,2024-05-14,2024-05-14,Delivered,1022.22,6,6,0,1,Northeast
O00132,C011,2024-02-26,2024-02-29,2024-03-01,2024-02-29,Delivered,371.15,13,1,0,1,Midwest
O00133,C034,2024-11-06,2024-11-08,2024-11-09,2024-11-08,Delivered,2067.9,10,10,0,1,Midwest
O00134,C002,2024-03-15,2024-03-17,2024-03-22,2024-03-18,Delivered,203.32,2,2,0,1,Northeast
O00135,C010,2024-01-20,2024-01-22,2024-01-25,2024-01-22,Delivered,1121.2,8,8,0,1,South
O00136,C003,2024-02-10,2024-02-13,2024-02-15,2024-02-21,Delivered,2466.62,13,13,3,1,South
O00137,C017,2024-01-22,,2024-01-26,,Cancelled,360.54,2,0,0,1,South
O00138,C024,2024-11-18,,2024-11-21,,Cancelled,813.4,7,0,0,1,West
O00139,C020,2024-04-11,2024-04-13,2024-04-18,2024-04-18,Delivered,2292.79,17,17,0,1,Northeast
O00140,C005,2024-01-11,2024-01-13,2024-01-16,2024-01-22,Delivered,1448.44,14,14,0,1,Midwest
O00141,C016,2024-04-04,2024-04-06,2024-04-09,2024-04-06,Delivered,1200.32,8,8,4,1,West
O00142,C013,2024-02-27,2024-03-01,2024-03-03,2024-03-02,Delivered,884.7,15,15,0,1,South
O00143,C008,2024-07-27,2024-07-30,2024-07-30,2024-07-30,Delivered,2923.62,14,14,6,1,Northeast
O00144,C038,2024-08-25,2024-08-26,2024-09-01,2024-08-31,Delivered,2008.92,12,12,0,1,South
O00145,C038,2024-04-25,2024-04-26,2024-05-02,2024-04-27,Delivered,2355.12,18,18,0,1,South
O00146,C010,2024-12-02,2024-12-05,2024-12-05,,Shipped,1069.2,20,20,0,1,South
O00147,C024,2024-02-10,2024-02-12,2024-02-13,2024-02-13,Delivered,1437.7,11,11,0,1,West
O00148,C015,2024-02-14,2024-02-17,2024-02-17,2024-02-17,Delivered,366.5,5,5,0,1,Northeast
O00149,C021,2024-06-10,2024-06-11,2024-06-15,2024-06-12,Delivered,2128.14,14,14,0,0,South
O00150,C038,2024-03-15,2024-03-16,2024-03-20,2024-03-16,Delivered,256.65,3,3,0,1,South
O00151,C010,2024-01-29,2024-01-31,2024-02-03,,Shipped,2030.28,14,14,0,0,South
O00152,C018,2024-03-12,,2024-03-17,,Cancelled,232.8,10,0,0,1,West
O00153,C039,2024-03-12,2024-03-15,2024-03-18,2024-03-16,Delivered,266.75,11,11,0,1,Midwest
O00154,C003,2024-11-22,2024-11-25,2024-11-25,2024-11-25,Delivered,262.66,2,2,0,1,South
O00155,C012,2024-04-18,2024-04-19,2024-04-24,2024-04-19,Delivered,850.8,4,4,0,1,Northeast
O00156,C025,2024-10-20,2024-10-21,2024-10-24,2024-10-28,Delivered,3384.66,19,19,0,1,Northeast
O00157,C031,2024-06-17,2024-06-18,2024-06-22,2024-06-19,Delivered,891.3,10,10,0,0,Midwest
O00158,C008,2024-11-20,2024-11-23,2024-11-27,2024-11-24,Delivered,614.77,13,13,0,1,Northeast
O00159,C035,2024-12-07,2024-12-10,2024-12-10,2024-12-11,Delivered,232.45,5,5,0,1,West
O00160,C027,2024-08-06,2024-08-08,2024-08-12,2024-08-12,Delivered,708.25,5,5,0,1,South
O00161,C017,2024-06-01,2024-06-02,2024-06-07,2024-06-05,Delivered,3287.19,19,19,0,1,South
O00162,C007,2024-05-31,2024-06-03,2024-06-07,2024-06-07,Delivered,248.1,5,5,0,1,Midwest
O00163,C002,2024-06-26,,2024-07-03,,Cancelled,1032.21,9,0,0,1,Northeast
O00164,C021,2024-06-15,2024-06-16,2024-06-22,2024-06-24,Delivered,1229.04,9,9,0,0,South
O00165,C020,2024-11-08,2024-11-11,2024-11-12,2024-11-12,Delivered,1835.5,10,10,0,1,Northeast
O00166,C031,2024-08-08,2024-08-11,2024-08-12,2024-08-12,Delivered,1069.11,7,7,0,1,Midwest
O00167,C002,2024-09-14,2024-09-16,2024-09-19,2024-09-16,Delivered,1677.7,10,10,0,1,Northeast
O00168,C030,2024-04-05,,2024-04-10,,Cancelled,139.98,3,0,0,1,South
O00169,C012,2024-03-09,2024-03-12,2024-03-13,2024-03-13,Delivered,1175.88,6,6,0,1,Northeast
O00170,C033,2024-02-21,2024-02-24,2024-02-25,2024-02-25,Delivered,246.54,6,6,0,0,West
O00171,C024,2024-09-18,2024-09-19,2024-09-21,2024-09-19,Delivered,3114.57,17,17,0,1,West
O00172,C029,2024-03-25,2024-03-27,2024-04-01,2024-03-27,Delivered,1134.72,16,16,0,1,Northeast
O00173,C022,2024-09-23,2024-09-24,2024-09-26,2024-10-03,Delivered,2789.39,19,19,0,1,South
O00174,C021,2024-10-03,2024-10-05,2024-10-07,2024-10-06,Delivered,182.4,10,10,0,1,South
O00175,C026,2024-10-18,2024-10-19,2024-10-25,2024-10-31,Delivered,532.71,3,3,0,1,West
O00176,C006,2024-05-20,2024-05-22,2024-05-26,2024-05-23,Delivered,1244.76,6,6,0,1,Northeast
O00177,C030,2024-01-21,2024-01-22,2024-01-27,2024-01-26,Delivered,3533.81,19,19,0,1,South
O00178,C037,2024-11-14,2024-11-16,2024-11-20,2024-11-17,Delivered,545.91,3,3,0,1,Midwest
O00179,C040,2024-05-30,2024-06-01,2024-06-05,2024-06-02,Delivered,1039.38,6,6,0,1,Midwest
O00180,C015,2024-12-12,2024-12-15,2024-12-19,2024-12-19,Delivered,121.38,1,1,0,1,Northeast
O00181,C010,2024-03-06,2024-03-09,2024-03-09,2024-03-16,Delivered,453.12,4,4,0,1,South
O00182,C027,2024-05-20,2024-05-21,2024-05-24,2024-05-24,Delivered,3127.59,19,19,0,1,South
O00183,C017,2024-06-10,2024-06-12,2024-06-14,2024-06-14,Delivered,1206.36,6,6,0,1,South
O00184,C001,2024-11-25,2024-11-27,2024-11-30,2024-11-28,Delivered,1697.13,9,4,0,1,South
O00185,C032,2024-05-17,2024-05-20,2024-05-24,,Shipped,308.35,5,4,0,1,Northeast
O00186,C035,2024-02-04,2024-02-05,2024-02-10,2024-02-05,Delivered,2275.91,13,13,0,1,West
O00187,C036,2024-12-09,2024-12-12,2024-12-15,,Shipped,296.04,4,4,0,1,West
O00188,C013,2024-06-24,2024-06-27,2024-06-30,2024-06-30,Delivered,1056.0,11,11,0,1,South
O00189,C011,2024-07-01,2024-07-02,2024-07-07,2024-07-06,Delivered,847.72,4,4,0,1,Midwest
O00190,C027,2024-06-14,2024-06-16,2024-06-17,2024-06-17,Delivered,1990.8,20,20,0,1,South
O00191,C020,2024-11-04,2024-11-05,2024-11-10,2024-11-08,Delivered,588.42,7,7,0,1,Northeast
O00192,C037,2024-09-05,2024-09-07,2024-09-09,2024-09-08,Delivered,315.84,12,12,0,0,Midwest
O00193,C035,2024-01-18,2024-01-19,2024-01-22,2024-01-21,Delivered,2889.75,15,15,0,1,West
O00194,C032,2024-03-26,2024-03-28,2024-04-01,2024-03-31,Delivered,1057.5,5,5,0,1,Northeast
O00195,C005,2024-06-05,2024-06-08,2024-06-08,2024-06-08,Delivered,2561.65,13,13,0,1,Midwest
O00196,C033,2024-02-29,,2024-03-07,,Placed,844.39,17,0,0,1,West
O00197,C014,2024-04-11,2024-04-12,2024-04-15,2024-04-14,Delivered,118.48,4,4,0,0,West
O00198,C034,2024-01-30,2024-02-02,2024-02-05,2024-02-04,Delivered,1313.01,9,9,0,1,Midwest
O00199,C014,2024-01-24,2024-01-25,2024-01-27,2024-01-27,Delivered,743.52,16,16,0,1,West
O00200,C028,2024-11-03,2024-11-04,2024-11-06,2024-11-06,Delivered,297.05,5,5,0,1,Midwest
O00201,C023,2024-04-28,2024-04-30,2024-05-03,2024-05-02,Delivered,1285.47,9,9,7,1,West
O00202,C031,2024-06-04,2024-06-05,2024-06-07,2024-06-06,Delivered,545.31,9,9,0,1,Midwest
O00203,C002,2024-09-22,2024-09-25,2024-09-29,2024-09-29,Delivered,1420.4,10,10,0,1,Northeast
O00204,C005,2024-01-26,2024-01-28,2024-01-31,2024-01-29,Delivered,2243.45,11,11,0,1,Midwest
O00205,C018,2024-03-16,2024-03-18,2024-03-19,2024-03-19,Delivered,207.1,2,2,0,0,West
O00206,C005,2024-11-24,2024-11-26,2024-12-01,2024-11-29,Delivered,327.52,4,4,0,1,Midwest
O00207,C038,2024-06-23,2024-06-26,2024-06-26,,Shipped,3516.16,16,16,0,1,South
O00208,C009,2024-08-26,2024-08-29,2024-08-30,2024-09-02,Delivered,3488.16,16,16,0,1,West
O00209,C038,2024-05-12,2024-05-13,2024-05-17,,Shipped,525.8,5,5,0,1,South
O00210,C037,2024-11-12,2024-11-14,2024-11-17,2024-11-16,Delivered,1292.32,16,16,0,1,Midwest
O00211,C028,2024-09-18,2024-09-20,2024-09-25,2024-09-21,Delivered,287.56,7,7,0,1,Midwest
O00212,C040,2024-07-12,2024-07-13,2024-07-15,2024-07-14,Delivered,51.29,1,1,0,0,Midwest
O00213,C033,2024-01-08,2024-01-09,2024-01-11,2024-01-10,Delivered,2368.95,17,17,0,0,West
O00214,C006,2024-01-04,,2024-01-09,,Placed,510.6,4,0,0,1,Northeast
O00215,C028,2024-02-22,2024-02-23,2024-02-29,2024-02-27,Delivered,817.95,5,5,0,1,Midwest
O00216,C031,2024-05-05,2024-05-07,2024-05-11,2024-05-08,Delivered,436.0,5,3,0,1,Midwest
O00217,C025,2024-07-01,2024-07-02,2024-07-08,2024-07-08,Delivered,112.38,1,1,0,1,Northeast
O00218,C009,2024-02-26,2024-02-29,2024-03-02,2024-02-29,Delivered,614.31,3,3,0,1,West
O00219,C037,2024-06-26,2024-06-29,2024-06-29,2024-06-29,Delivered,3010.65,15,15,0,1,Midwest
O00220,C003,2024-08-02,2024-08-04,2024-08-09,2024-08-04,Delivered,1718.99,13,13,0,0,South
O00221,C021,2024-06-13,2024-06-14,2024-06-19,2024-06-18,Delivered,2351.14,11,11,0,1,South
O00222,C024,2024-11-24,2024-11-26,2024-11-29,2024-11-27,Delivered,2868.15,15,15,0,1,West
O00223,C005,2024-03-31,,2024-04-03,,Cancelled,642.18,14,0,0,1,Midwest
O00224,C019,2024-01-31,2024-02-02,2024-02-06,2024-02-04,Delivered,414.54,14,14,0,1,Midwest
O00225,C030,2024-06-30,2024-07-01,2024-07-04,2024-07-03,Delivered,3576.12,17,17,0,1,South
O00226,C011,2024-02-23,2024-02-25,2024-02-26,2024-02-25,Delivered,1032.5,14,14,0,1,Midwest
O00227,C018,2024-01-12,2024-01-15,2024-01-18,2024-01-16,Delivered,1930.76,13,2,0,1,West
O00228,C016,2024-01-03,2024-01-05,2024-01-07,2024-01-07,Delivered,97.4,5,5,0,1,West
O00229,C005,2024-10-18,2024-10-20,2024-10-25,2024-10-21,Delivered,3431.8,20,20,0,1,Midwest
O00230,C038,2024-09-14,2024-09-16,2024-09-17,2024-09-16,Delivered,901.6,20,20,0,1,South
O00231,C019,2024-06-27,2024-06-30,2024-07-01,2024-07-08,Delivered,449.4,4,4,0,0,Midwest
O00232,C011,2024-01-17,2024-01-20,2024-01-20,2024-01-20,Delivered,117.99,1,1,0,1,Midwest
O00233,C007,2024-06-05,2024-06-06,2024-06-08,,Shipped,569.58,6,6,0,1,Midwest
O00234,C022,2024-09-03,2024-09-05,2024-09-07,2024-09-06,Delivered,504.36,9,9,0,1,South
O00235,C011,2024-05-19,2024-05-21,2024-05-23,2024-05-21,Delivered,890.7,10,10,0,1,Midwest
O00236,C037,2024-09-15,2024-09-16,2024-09-18,2024-09-18,Delivered,766.68,12,12,0,1,Midwest
O00237,C038,2024-02-22,2024-02-25,2024-02-28,2024-02-28,Delivered,1190.28,14,14,0,1,South
O00238,C008,2024-05-01,,2024-05-04,,Placed,300.43,13,0,0,1,Northeast
O00239,C011,2024-11-25,2024-11-26,2024-11-28,2024-11-27,Delivered,152.11,7,7,0,1,Midwest
O00240,C016,2024-04-29,2024-04-30,2024-05-03,2024-05-04,Delivered,733.59,13,13,0,1,West
O00241,C021,2024-11-21,2024-11-24,2024-11-25,2024-11-25,Delivered,376.16,2,2,0,1,South
O00242,C033,2024-01-24,2024-01-27,2024-01-31,2024-01-30,Delivered,3284.53,19,19,0,1,West
O00243,C031,2024-10-07,2024-10-08,2024-10-13,,Shipped,500.92,7,7,0,0,Midwest
O00244,C027,2024-06-05,2024-06-06,2024-06-10,2024-06-10,Delivered,612.9,6,6,0,1,South
O00245,C030,2024-06-24,2024-06-25,2024-06-27,2024-06-25,Delivered,1062.45,9,9,0,1,South
O00246,C039,2024-03-30,2024-04-01,2024-04-05,2024-04-05,Delivered,4267.2,20,20,0,1,Midwest
O00247,C013,2024-07-22,,2024-07-26,,Placed,231.66,6,0,0,1,South
O00248,C015,2024-07-15,2024-07-16,2024-07-19,2024-07-16,Delivered,2063.4,15,12,0,1,Northeast
O00249,C027,2024-05-19,,2024-05-26,,Placed,487.62,6,0,0,1,South
O00250,C008,2024-02-12,2024-02-14,2024-02-17,2024-02-15,Delivered,470.4,10,10,0,1,Northeast
O00251,C035,2024-09-26,2024-09-27,2024-10-03,2024-10-01,Delivered,3700.26,18,18,0,1,West
O00252,C019,2024-04-17,,2024-04-20,,Placed,2872.44,18,0,0,1,Midwest
O00253,C011,2024-08-01,2024-08-03,2024-08-04,2024-08-11,Delivered,253.5,3,3,0,1,Midwest
